Wall time,Step,Value
1568481285.6780202,0,-54.998497009277344
1568481291.2929869,1,-48.11293029785156
1568481297.1244223,2,-57.56998825073242
1568481302.557467,3,-60.1674919128418
1568481308.1880162,4,-56.664180755615234
1568481313.7139344,5,-48.12358474731445
1568481319.378038,6,-73.65220642089844
1568481325.2222054,7,-68.82691192626953
1568481330.6436493,8,-55.92262649536133
1568481335.9896176,9,-53.058773040771484
1568481355.8620672,10,-41.752601623535156
1568481362.0026293,11,-51.70248031616211
1568481367.820034,12,-42.686981201171875
1568481373.3095412,13,-39.89824676513672
1568481378.8375783,14,-50.099727630615234
1568481384.1756306,15,-40.74887466430664
1568481389.4367857,16,-27.900365829467773
1568481394.9873338,17,-44.022525787353516
1568481400.846683,18,-35.22840881347656
1568481406.4132628,19,-38.390541076660156
1568481425.114696,20,-40.462032318115234
1568481431.0361211,21,-47.35630416870117
1568481436.7705848,22,-42.38409423828125
1568481442.020142,23,-19.92778205871582
1568481447.8778703,24,-47.909542083740234
1568481453.4233122,25,-36.78289031982422
1568481458.8813827,26,-28.355880737304688
1568481464.4021735,27,-35.93455505371094
1568481470.0178258,28,-34.26478576660156
1568481475.4205787,29,-34.530616760253906
1568481492.5703652,30,-42.76289367675781
1568481497.9332063,31,-26.725507736206055
1568481503.46002,32,-31.176103591918945
1568481509.0375311,33,-31.26915740966797
1568481514.85704,34,-35.2993049621582
1568481520.5292673,35,-30.32020378112793
1568481526.2972004,36,-45.205772399902344
1568481531.7025619,37,-22.741004943847656
1568481536.958797,38,-17.152997970581055
1568481542.8495066,39,-42.70627975463867
1568481560.4430737,40,-27.34654998779297
1568481566.1564355,41,-29.69576072692871
1568481571.9422305,42,-25.878639221191406
1568481577.3429615,43,-21.60468292236328
1568481582.8758197,44,-26.943519592285156
1568481588.3585637,45,-18.49561309814453
1568481593.738008,46,-23.715545654296875
1568481599.4026651,47,-26.42591094970703
1568481605.2815678,48,-23.85035514831543
1568481611.0342007,49,-25.286592483520508
1568481629.5015266,50,-22.81636619567871
1568481635.485494,51,-24.6876277923584
1568481640.999998,52,-13.2295503616333
1568481646.375346,53,-22.091733932495117
1568481651.5733101,54,-23.377967834472656
1568481656.733751,55,-12.238585472106934
1568481662.1698477,56,-23.76067352294922
1568481667.60584,57,-21.1030216217041
1568481673.1362073,58,-19.745513916015625
1568481679.0512743,59,-24.593536376953125
1568481698.3080993,60,-22.109355926513672
1568481704.227145,61,-19.672224044799805
1568481709.9694848,62,-20.9644832611084
1568481715.6465585,63,-14.787213325500488
1568481721.0127447,64,-8.143813133239746
1568481726.4905639,65,-18.267061233520508
1568481732.26123,66,-17.119487762451172
1568481737.7543285,67,-16.373491287231445
1568481743.9356844,68,-21.71806526184082
1568481749.6089513,69,-17.236486434936523
1568481768.266256,70,-14.147305488586426
1568481774.026304,71,-13.69233226776123
1568481779.7685246,72,-19.51896858215332
1568481785.4746494,73,-20.75652503967285
1568481791.3661666,74,-17.108028411865234
1568481796.8666494,75,-15.596699714660645
1568481802.7132556,76,-18.642005920410156
1568481808.353098,77,-10.387742042541504
1568481814.049551,78,-16.094552993774414
1568481819.8316083,79,-15.542410850524902
1568481838.5535147,80,-23.28339195251465
1568481844.5750978,81,-15.434643745422363
1568481850.2425444,82,-11.336541175842285
1568481855.5911257,83,-9.250244140625
1568481861.5592518,84,-15.656407356262207
1568481867.3169646,85,-16.446977615356445
1568481872.8529816,86,-11.249588012695312
1568481878.747103,87,-17.628313064575195
1568481884.3510456,88,-11.10820484161377
1568481890.0485578,89,-12.332101821899414
1568481909.1585212,90,-9.384224891662598
1568481915.0379157,91,-14.523904800415039
1568481920.5619175,92,-8.574592590332031
1568481926.033516,93,-13.884105682373047
1568481931.4768963,94,-7.991465091705322
1568481937.1152568,95,-11.567270278930664
1568481942.6163454,96,-4.312500476837158
1568481948.382456,97,-12.280000686645508
1568481954.1857874,98,-9.697624206542969
1568481959.891952,99,-7.76200532913208
1568481979.1539009,100,-7.9657793045043945
1568481985.1377878,101,-6.8800129890441895
1568481990.893269,102,-10.258223533630371
1568481996.3252306,103,-5.839118003845215
1568482001.9365366,104,-14.406476974487305
1568482007.624347,105,-12.663229942321777
1568482013.2689414,106,-9.963726043701172
1568482018.5892916,107,-6.9425048828125
1568482024.3615158,108,-15.241004943847656
1568482030.0530193,109,-10.827118873596191
1568482048.2055516,110,-7.304679870605469
1568482054.0567956,111,-9.828285217285156
1568482059.6440437,112,-9.42471694946289
1568482065.1396177,113,-5.754603385925293
1568482070.922018,114,-13.548595428466797
1568482076.4999666,115,-13.320000648498535
1568482081.9510658,116,-5.240075588226318
1568482087.5655878,117,-9.919099807739258
1568482093.1224675,118,-6.59604549407959
1568482098.3142529,119,-4.708879470825195
1568482116.6480532,120,-11.562917709350586
1568482122.5539863,121,-1.9792884588241577
1568482128.3856351,122,-9.006335258483887
1568482133.9512708,123,-5.022193908691406
1568482139.691751,124,-10.637852668762207
1568482144.9519076,125,-4.253829002380371
1568482150.8427536,126,-8.397148132324219
1568482156.488564,127,-8.524202346801758
1568482161.946567,128,-10.332737922668457
1568482167.3952494,129,-4.103304862976074
1568482186.3840625,130,-6.468879699707031
1568482192.1821458,131,-6.025806427001953
1568482197.7102187,132,-5.984277248382568
1568482203.1588957,133,-4.961740970611572
1568482208.643918,134,-3.8100297451019287
1568482214.0319736,135,-5.332546234130859
1568482219.7043588,136,-7.611458778381348
1568482225.024439,137,-3.1383702754974365
1568482230.6498284,138,-6.2740044593811035
1568482236.3937247,139,-6.486039638519287
1568482254.3662527,140,-6.404713153839111
1568482260.5000706,141,-8.687870979309082
1568482266.0959458,142,-7.153060436248779
1568482271.7401433,143,-5.219749450683594
1568482277.4692,144,-9.496187210083008
1568482283.0280738,145,-5.4920549392700195
1568482288.4750662,146,-4.931595802307129
1568482293.8542488,147,-0.8244697451591492
1568482299.5390997,148,-5.963568210601807
1568482305.0462184,149,-5.156439781188965
1568482322.0386257,150,-4.120903968811035
1568482327.7919085,151,-9.374140739440918
1568482333.4335608,152,-6.615505695343018
1568482338.8667734,153,-4.5017852783203125
1568482344.7283223,154,-7.035652160644531
1568482350.4941795,155,-2.5311360359191895
1568482356.3892071,156,-13.810455322265625
1568482362.2160158,157,-6.882106304168701
1568482367.737102,158,-1.9466935396194458
1568482373.071626,159,-3.2288804054260254
1568482391.7156668,160,-1.4087387323379517
1568482398.2011538,161,-14.000192642211914
1568482403.6222734,162,-2.021533966064453
1568482409.3310502,163,-7.015275478363037
1568482414.8026867,164,0.4121125340461731
1568482420.5401561,165,-4.619276523590088
1568482426.0073328,166,-2.461958408355713
1568482431.319518,167,-1.6304659843444824
1568482437.008148,168,-10.10131549835205
1568482442.6496272,169,-2.621212959289551
1568482461.02116,170,-1.8825987577438354
1568482466.6618142,171,-0.49637025594711304
1568482472.7634044,172,-5.977777004241943
1568482478.2058923,173,-2.1367430686950684
1568482483.585652,174,-5.3604416847229
1568482489.2817583,175,-6.206661701202393
1568482495.2113616,176,-8.540938377380371
1568482500.4671738,177,-2.519057273864746
1568482505.7579188,178,-5.768823623657227
1568482511.5895796,179,-7.110495090484619
1568482530.622211,180,-3.0488243103027344
1568482536.2920327,181,-0.2576378285884857
1568482542.0474067,182,-6.1225080490112305
1568482547.8695164,183,-4.872772216796875
1568482553.7015908,184,-5.674550533294678
1568482559.4155614,185,-4.199619293212891
1568482564.8485968,186,-3.578181266784668
1568482570.5571198,187,-5.2791924476623535
1568482576.0393572,188,0.04990854114294052
1568482581.6682496,189,-2.605164051055908
1568482599.5208614,190,-1.603487253189087
1568482605.4795094,191,-3.4609382152557373
1568482611.1291583,192,-3.5311954021453857
1568482616.6252737,193,-8.304525375366211
1568482622.2217069,194,-4.9862775802612305
1568482627.8179903,195,-0.6101561188697815
1568482633.1681046,196,-2.923118829727173
1568482638.6787632,197,-6.166774749755859
1568482644.4643145,198,-5.183948040008545
1568482649.9163957,199,-4.938397407531738
1568482668.1968107,200,-2.3050644397735596
1568482674.0104506,201,-1.1113381385803223
1568482679.4925578,202,-2.4475815296173096
1568482685.0494015,203,0.025476878508925438
1568482690.7730496,204,-3.6056625843048096
1568482696.6064043,205,-4.132233619689941
1568482702.1718397,206,-4.727128982543945
1568482707.5520296,207,-2.5457510948181152
1568482713.2669554,208,-6.072128772735596
1568482718.9297247,209,-5.4745588302612305
1568482737.5560842,210,1.3549602031707764
