Wall time,Step,Value
1568481322.1329305,0,-226.16346740722656
1568481328.4932806,1,-289.2181701660156
1568481334.253063,2,-279.7931213378906
1568481339.528846,3,-183.0135498046875
1568481344.7100773,4,-188.74578857421875
1568481349.7785096,5,-152.7701873779297
1568481355.252933,6,-140.3001708984375
1568481360.7765386,7,-195.74295043945312
1568481366.1574183,8,-141.811767578125
1568481371.7803714,9,-191.9581298828125
1568481388.141806,10,-213.38963317871094
1568481393.7568557,11,-222.70181274414062
1568481399.5117924,12,-124.80293273925781
1568481405.0401838,13,-114.90699005126953
1568481410.3446467,14,-97.667724609375
1568481415.531354,15,-84.33098602294922
1568481421.0536091,16,-115.42079162597656
1568481426.8837543,17,-157.4121856689453
1568481432.8214192,18,-178.97622680664062
1568481438.5565948,19,-152.44061279296875
1568481457.3582149,20,-130.04612731933594
1568481463.6084387,21,-132.32740783691406
1568481469.2496433,22,-134.45306396484375
1568481474.7890813,23,-106.8526840209961
1568481480.4097319,24,-84.82756042480469
1568481486.0008955,25,-145.0199737548828
1568481491.5291488,26,-88.95824432373047
1568481497.142414,27,-85.42814636230469
1568481503.2793992,28,-99.73924255371094
1568481509.0986295,29,-68.2838134765625
1568481529.9525254,30,-123.79430389404297
1568481535.8324656,31,-147.53329467773438
1568481541.538988,32,-112.01968383789062
1568481547.2639868,33,-103.10244750976562
1568481552.7067935,34,-69.4651870727539
1568481558.4458554,35,-90.88235473632812
1568481564.1205895,36,-130.4654083251953
1568481569.8848956,37,-119.0368881225586
1568481575.9547198,38,-136.80690002441406
1568481581.4617004,39,-89.79068756103516
1568481600.5302203,40,-85.34748077392578
1568481607.1777442,41,-104.8825454711914
1568481613.2063813,42,-79.83047485351562
1568481619.4962423,43,-91.18968963623047
1568481625.4943528,44,-97.47260284423828
1568481630.9172027,45,-53.63716125488281
1568481636.798999,46,-77.24954986572266
1568481642.384061,47,-57.0858154296875
1568481647.9461954,48,-65.47572326660156
1568481653.5923562,49,-110.07212829589844
1568481671.6042888,50,-61.22470474243164
1568481677.44686,51,-81.59635162353516
1568481683.54578,52,-73.42029571533203
1568481689.3057265,53,-60.79526901245117
1568481694.7046475,54,-46.2107048034668
1568481700.513641,55,-69.95661163330078
1568481706.3538811,56,-68.31026458740234
1568481711.6626647,57,-51.33110427856445
1568481717.3272133,58,-63.19231414794922
1568481723.1117208,59,-43.64352035522461
1568481742.898034,60,-64.54595947265625
1568481748.7219028,61,-74.22557830810547
1568481754.3207276,62,-55.576229095458984
1568481759.3365934,63,-20.865142822265625
1568481764.5097585,64,-13.161722183227539
1568481770.0296216,65,-48.4831657409668
1568481775.5269165,66,-38.829383850097656
1568481781.0615122,67,-44.73426055908203
1568481786.8943176,68,-45.371498107910156
1568481792.6420977,69,-49.691261291503906
1568481812.4977129,70,-51.271385192871094
1568481818.228351,71,-21.49422836303711
1568481824.148898,72,-53.8337516784668
1568481830.1937768,73,-53.3132438659668
1568481835.920192,74,-27.294248580932617
1568481841.459195,75,-45.18442916870117
1568481847.3318567,76,-51.03315353393555
1568481853.159369,77,-38.820682525634766
1568481858.7199533,78,-43.84138870239258
1568481863.9430351,79,-24.16864013671875
1568481883.2520998,80,-23.687314987182617
1568481888.9658365,81,-28.469467163085938
1568481895.1983562,82,-56.975685119628906
1568481901.044839,83,-38.76530075073242
1568481907.040048,84,-35.61654281616211
1568481912.701896,85,-29.104150772094727
1568481918.5215316,86,-29.074848175048828
1568481923.7933967,87,-17.486433029174805
1568481929.39546,88,-22.98564338684082
1568481934.7053657,89,-7.606090068817139
1568481952.7192156,90,-25.862157821655273
1568481958.5745323,91,-5.811899185180664
1568481964.2685623,92,-19.674047470092773
1568481969.7484248,93,-21.52889633178711
1568481975.475605,94,-29.08425521850586
1568481980.9969876,95,-24.197919845581055
1568481986.8685699,96,-36.02294158935547
1568481992.7063046,97,-38.91887664794922
1568481998.536675,98,-16.973583221435547
1568482004.136475,99,-4.055118083953857
1568482024.2924032,100,-15.024336814880371
1568482030.3875153,101,-20.996601104736328
1568482035.7153792,102,-22.166349411010742
1568482041.09521,103,-20.469919204711914
1568482046.960105,104,-26.177583694458008
1568482052.518736,105,-25.712623596191406
1568482057.7257602,106,-18.603784561157227
1568482063.4589176,107,-36.89799880981445
1568482068.9718115,108,-28.332487106323242
1568482074.5260012,109,-22.495153427124023
1568482092.443834,110,-15.626285552978516
1568482098.5385408,111,-14.074859619140625
1568482104.4696038,112,-14.482510566711426
1568482110.4370253,113,-17.050579071044922
1568482116.0130823,114,-13.930903434753418
1568482121.4867742,115,-21.669923782348633
1568482127.5435321,116,-14.194090843200684
1568482133.353816,117,-6.085705280303955
1568482139.1264756,118,-17.43985366821289
1568482144.896988,119,-18.20770835876465
1568482164.1581619,120,-10.05835247039795
1568482170.10425,121,-15.669280052185059
1568482175.9454858,122,-9.89436149597168
1568482181.577442,123,-13.46489143371582
1568482187.2125645,124,-15.64270305633545
1568482192.494452,125,-8.422184944152832
1568482197.8611095,126,-6.210545539855957
1568482203.346403,127,-13.682519912719727
1568482208.7614548,128,-10.030055046081543
1568482214.508288,129,-3.6324427127838135
1568482233.803941,130,-13.892549514770508
1568482240.1889179,131,-5.756516933441162
1568482245.9088776,132,-3.627633571624756
1568482251.737785,133,-6.531960964202881
1568482257.2943053,134,-12.581602096557617
1568482262.734642,135,-4.556309223175049
1568482268.3804088,136,-7.502778053283691
1568482273.7092204,137,-0.8453564643859863
1568482279.153095,138,-8.648306846618652
1568482285.004265,139,-11.157470703125
1568482304.526269,140,1.7595356702804565
1568482310.62997,141,-7.84129524230957
1568482316.5702393,142,-2.5638842582702637
1568482322.3173182,143,-14.261557579040527
1568482328.0157475,144,2.2376554012298584
1568482333.5387964,145,-4.691175937652588
1568482339.378186,146,2.1878421306610107
1568482345.0639362,147,4.389823913574219
1568482350.8042288,148,-1.8996195793151855
1568482356.483363,149,0.053908322006464005
1568482375.8266668,150,-1.4595409631729126
1568482381.5928,151,4.202279090881348
1568482387.3252492,152,0.8310871124267578
1568482392.5864673,153,-6.429962635040283
1568482397.9736016,154,-5.052540302276611
1568482403.7034464,155,0.3384961783885956
1568482409.3706722,156,1.8480499982833862
1568482415.045819,157,-1.911494493484497
1568482420.8619804,158,-6.455174922943115
1568482426.2128892,159,3.116708278656006
1568482444.3100688,160,2.6412198543548584
1568482450.1874454,161,-3.3231964111328125
1568482456.2370636,162,5.8148064613342285
1568482461.8788965,163,4.4522199630737305
1568482467.3557358,164,2.8623368740081787
1568482472.9977655,165,2.572417974472046
1568482478.1041224,166,4.933797359466553
1568482483.5240765,167,5.66483211517334
1568482489.1016724,168,4.582409858703613
1568482495.012379,169,4.026199817657471
1568482513.821656,170,5.602986812591553
1568482519.9091318,171,5.891188144683838
1568482525.582546,172,4.0352349281311035
1568482531.4853837,173,-3.0180633068084717
1568482538.04386,174,-0.7402816414833069
1568482544.4304214,175,5.440889835357666
1568482550.5296292,176,-0.5103618502616882
1568482556.513192,177,-0.5118820667266846
1568482562.2759678,178,0.028414910659193993
1568482568.0468326,179,6.968631267547607
1568482586.2018087,180,3.514263868331909
1568482592.1426003,181,5.339724540710449
1568482598.0611756,182,-7.864043712615967
1568482604.022637,183,0.3867615759372711
1568482609.785873,184,2.927793025970459
1568482615.4361231,185,5.147837162017822
1568482621.1858711,186,9.098575592041016
1568482626.8790138,187,6.251111030578613
1568482633.246908,188,3.569756269454956
1568482639.2024953,189,7.205050945281982
1568482658.767497,190,3.2347662448883057
1568482665.152766,191,6.591470241546631
1568482670.8850217,192,5.504319190979004
1568482676.6530678,193,5.141063690185547
1568482682.0772207,194,7.7220072746276855
1568482688.0745275,195,6.032369613647461
1568482693.7164972,196,6.2820024490356445
1568482699.5807803,197,5.390321731567383
1568482705.341531,198,5.485484600067139
1568482711.5539682,199,6.8710432052612305
1568482730.949111,200,15.286992073059082
1568482736.8259943,201,7.555325031280518
