Wall time,Step,Value
1568469814.3366332,0,0.03698422387242317
1568469832.0341473,1,0.03668677434325218
1568469848.754449,2,0.03659703955054283
1568469867.0210407,3,0.03640548512339592
1568469885.316244,4,0.03625975921750069
1568469906.4570112,5,0.03600563853979111
1568469921.828886,6,0.03577134385704994
1568469936.0542684,7,0.035502802580595016
1568469952.7544405,8,0.035235337913036346
1568469970.5626578,9,0.03504575788974762
1568470022.6860595,10,0.034837253391742706
1568470042.9216764,11,0.034580476582050323
1568470063.2647212,12,0.034448008984327316
1568470080.0056267,13,0.03425081819295883
1568470100.722882,14,0.03403378278017044
1568470115.3387096,15,0.03379267454147339
1568470132.0736113,16,0.033536914736032486
1568470148.903672,17,0.033300936222076416
1568470165.2658725,18,0.033030323684215546
1568470180.314557,19,0.032734647393226624
1568470240.5607219,20,0.032402124255895615
1568470259.6885326,21,0.03208089619874954
1568470274.9953668,22,0.03177109733223915
1568470295.3855994,23,0.03144676610827446
1568470315.0216393,24,0.03110668621957302
1568470331.3275998,25,0.030771641060709953
1568470350.531263,26,0.030430467799305916
1568470369.8164525,27,0.030090207234025
1568470387.3812654,28,0.029759583994746208
1568470406.0106862,29,0.029431378468871117
1568470458.0843546,30,0.029087448492646217
1568470476.1346555,31,0.028759606182575226
1568470493.7570906,32,0.028439873829483986
1568470512.1293607,33,0.028155524283647537
1568470530.8884413,34,0.027880322188138962
1568470550.7127283,35,0.027593808248639107
1568470570.296726,36,0.02729763835668564
1568470588.1184902,37,0.026987867429852486
1568470606.4435081,38,0.02668389305472374
1568470626.962278,39,0.026393948122859
1568470671.6522217,40,0.026137245818972588
1568470691.0399952,41,0.02594851143658161
1568470707.9332173,42,0.025782879441976547
1568470723.5585794,43,0.02560172788798809
1568470741.8939502,44,0.02537180669605732
1568470758.6410751,45,0.02522691898047924
1568470776.7549896,46,0.02509469725191593
1568470794.075082,47,0.02493325062096119
1568470809.9545505,48,0.02477431297302246
1568470828.0290842,49,0.024622078984975815
1568470884.3026164,50,0.02443675324320793
1568470901.067892,51,0.024341046810150146
1568470917.080228,52,0.024207089096307755
1568470933.5908191,53,0.024045217782258987
1568470953.3183496,54,0.02385765314102173
1568470973.0058005,55,0.023667864501476288
1568470993.4673991,56,0.023470742627978325
1568471013.2562263,57,0.023280974477529526
1568471027.5621638,58,0.023077109828591347
1568471046.2045546,59,0.022877134382724762
1568471104.3293397,60,0.02265228144824505
1568471121.425111,61,0.022441735491156578
1568471139.3778408,62,0.022249940782785416
1568471155.9601386,63,0.02210952155292034
1568471175.3915322,64,0.021956415846943855
1568471192.1883974,65,0.021841969341039658
1568471212.8037007,66,0.021709192544221878
1568471228.6710029,67,0.021574852988123894
1568471244.9490192,68,0.021505435928702354
1568471264.688934,69,0.0214230976998806
1568471324.5079522,70,0.021351240575313568
1568471342.9164505,71,0.021247373893857002
1568471360.4288263,72,0.02113630250096321
1568471379.3325899,73,0.0210407804697752
1568471398.357798,74,0.020923346281051636
1568471418.6812294,75,0.020784743130207062
1568471434.6563435,76,0.020647186785936356
1568471455.4757073,77,0.020503828302025795
1568471474.9269106,78,0.020366515964269638
1568471492.6965075,79,0.02020825445652008
1568471544.487554,80,0.020071187987923622
1568471563.6180158,81,0.01996675319969654
1568471578.967787,82,0.019857265055179596
1568471599.1432383,83,0.019727535545825958
1568471618.1673288,84,0.019689347594976425
1568471634.4184644,85,0.01963776722550392
1568471655.1650064,86,0.019581684842705727
1568471669.7596288,87,0.019505569711327553
1568471685.886186,88,0.019418252632021904
1568471702.919199,89,0.019307129085063934
1568471755.2187388,90,0.019221901893615723
1568471771.6371105,91,0.019106600433588028
1568471791.5281851,92,0.018980614840984344
1568471810.5743613,93,0.018879489973187447
1568471831.5843923,94,0.018784021958708763
1568471850.0713925,95,0.018703151494264603
1568471866.2230184,96,0.018639836460351944
1568471884.343507,97,0.018577875569462776
1568471904.187232,98,0.018537187948822975
1568471921.6841102,99,0.018458710983395576
1568471979.209703,100,0.018397146835923195
1568471996.4332762,101,0.01833193004131317
1568472016.8402445,102,0.01822742447257042
1568472032.0977914,103,0.01812066324055195
1568472052.511757,104,0.018009593710303307
1568472068.5999491,105,0.017902329564094543
1568472087.8261797,106,0.0178045853972435
1568472104.4721422,107,0.01769656129181385
1568472123.0466678,108,0.01760590635240078
1568472141.5986998,109,0.01749255321919918
1568472193.9732609,110,0.01738685555756092
1568472210.932989,111,0.01729796826839447
1568472230.655491,112,0.017215630039572716
1568472249.4406166,113,0.017140083014965057
1568472268.3512278,114,0.017090624198317528
1568472289.2283416,115,0.017109066247940063
1568472306.5113978,116,0.017236925661563873
1568472322.7831671,117,0.017314571887254715
1568472340.3616052,118,0.017358386889100075
1568472356.7306392,119,0.01739533059298992
1568472416.1930988,120,0.017406780272722244
1568472437.5082133,121,0.017430312931537628
1568472453.7886527,122,0.017449650913476944
1568472471.0350516,123,0.01751292310655117
1568472490.119768,124,0.01754683628678322
1568472508.6806457,125,0.01755545660853386
1568472524.6685984,126,0.017547979950904846
1568472540.6537735,127,0.017546188086271286
1568472556.7424693,128,0.01752006821334362
1568472575.3737693,129,0.017497887834906578
1568472631.867661,130,0.017511624842882156
1568472651.7729108,131,0.017517073079943657
1568472672.5373485,132,0.01750909350812435
1568472690.1368763,133,0.017491167411208153
1568472708.8991008,134,0.01747806742787361
1568472724.718439,135,0.017468003556132317
1568472745.3069327,136,0.01746944710612297
1568472761.2547765,137,0.017463430762290955
1568472778.570396,138,0.017476709559559822
1568472798.1677687,139,0.01755433902144432
1568472860.3921144,140,0.017648298293352127
1568472877.8515522,141,0.017722636461257935
1568472898.7027552,142,0.017775725573301315
1568472918.1088932,143,0.01785893179476261
1568472934.7600555,144,0.017939886078238487
1568472954.8112407,145,0.017999326810240746
1568472971.6293104,146,0.01802397333085537
1568472988.0672522,147,0.018125226721167564
1568473003.6018224,148,0.018182814121246338
1568473021.3760054,149,0.01821286231279373
1568473080.0075607,150,0.01816704124212265
1568473096.7378798,151,0.018146885558962822
1568473115.5865717,152,0.01810394786298275
1568473130.8821502,153,0.018041033297777176
1568473147.8098693,154,0.01800507865846157
1568473166.337135,155,0.018029198050498962
